Team Name
Chicago Phantoms
Los Angeles Raptors
New York Titans
Boston Wolves
Miami Sharks
San Francisco Warriors
Dallas Raptors
Philadelphia Lightning
Houston Mustangs
Atlanta Eagles
Denver Thunderbirds
Phoenix Firebirds
Orlando Lions
Toronto Guardians
Charlotte Cobras
Washington Griffins
Minnesota Yetis
Brooklyn Banshees
Utah Yeti
New Orleans Banshees
Cleveland Gladiators
Portland Pumas
Sacramento Raptors
Oklahoma City Jackals
Memphis Warriors
Indiana Comets
Milwaukee Grizzlies
Detroit Ravens
Atlanta Falcons
Los Angeles Tigers
Boston Knights
